name,previous_price [PLN],new_price [PLN],product_quantity,product_weight
"Kapsułki  NESCAFÉ® Dolce Gusto® CHiATO Espresso, .",59.97,34.0,3,16.0
"Kapsułki NESCAFÉ® Dolce Gusto® CHiATO Café au Lait, .",59.97,34.0,3,16.0
"Kapsułki NESCAFÉ® Dolce Gusto® Chococino, 8+8 szt.",27.99,21.79,1,8.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Espresso Intenso, 16 szt.",27.99,21.79,1,16.0
Kawowy kalendarz adwentowy Przyjaciół Kawy Premium Green (kawa ziarnista),339.99,237.99,1,
Kawowy kalendarz adwentowy Przyjaciół Kawy Classic Blue (kawa ziarnista),265.99,186.19,1,
Kawowy kalendarz adwentowy Przyjaciół Kawy Classic Blue (kawa mielona),265.99,186.19,1,
Kalendarz adwentowy z kawą w kapsułkach Little’s do Nespresso,130.99,91.69,1,
"Smakowa kawa rozpuszczalna Little’s Irish Cream Cracker, 50 g",35.99,26.99,1,0.05
"Smakowa kawa rozpuszczalna Little’s Christmas Spirit Cracker, 50 g",35.99,26.99,1,0.05
"Smakowa kawa rozpuszczalna Little’s Rich Hazelnut Cracker, 50 g",35.99,26.99,1,0.05
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Café Au lait, 16 szt.",23.99,21.99,1,16.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Cortado, 16 szt.",23.99,21.79,1,16.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Lungo, 16 szt.",23.99,21.79,1,16.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Caramel Latte Macchiato, 8+8 szt.",23.99,22.79,1,8.0
"Kakao w kapsułkach NESCAFÉ® Dolce Gusto® Nesquik, 16 szt.",23.99,21.99,1,16.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Latte Macchiato, 8+8 szt.",23.99,21.99,1,8.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Café au Lait Intenso, 16 szt.",29.99,21.79,1,16.0
"Kawa w kapsułkach do Dolce Gusto® NESCAFÉ Dolce Gusto Flat White, 16 szt.",22.99,22.59,1,16.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Cappuccino, 8+8 szt.",23.99,21.89,1,8.0
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Starbucks House Blend Grande, 12 szt.",27.99,23.99,1,12.0
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Starbucks Cappuccino, 6 + 6 szt.",27.99,23.99,1,6.0
Zestaw kawy ziarnistej Gold Label Organic + Bella Roma,231.0,173.25,1,
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Cortado, .",104.97,65.37,3,16.0
"Kawa w kapsułkach do Dolce Gusto® Starbucks Caramel Macchiato, 3 x 6 + 6 szt.",104.97,83.97,3,6.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Café au Lait Intenso, .",104.97,65.37,3,16.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Espresso Intenso, .",104.97,65.37,3,16.0
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® „Grande Intenso“, .",104.97,68.97,3,16.0
Zestaw kapsułek do ekspresów do kawy NESCAFE® Dolce Gusto® Black & White & Flavoured (64 porcji),101.99,93.99,1,
Zestaw kapsułek do ekspresów do kawy NESCAFE® Dolce Gusto® White (48 porcji),115.99,97.99,1,
Zestaw kapsułek do ekspresów do kawy NESCAFE® Dolce Gusto® Black (64 porcji),115.99,97.99,1,
"Kawa ziarnista Amicosso New York Blend, 1 kg",129.9,77.94,1,1.0
