product_name,price_old [PLN],price_netto [PLN],new_price [PLN],package_weight [KG]
Kawa mielona Bazzara DOLCEVIVACE Moka,29.99,20.2423,24.89,0.25
Kawa ziarnista LaCava Colombia Diego Bermudez Filter,99.0,56.3423,69.3,0.2
Kawa ziarnista BeMyBean Gwatemala La Bolsa,55.0,32.6423,40.15,0.25
Kawa ziarnista LaCava El Salvador El Cocal Espresso,219.0,124.6323,153.3,1.0
Kawa ziarnista LaCava Colombia El Rubi Espresso,219.0,124.6323,153.3,1.0
Kawa ziarnista LaCava Daily Bru,139.0,79.1123,97.3,1.0
Kawa ziarnista LaCava Daily Bru,55.0,31.3023,38.5,0.35
Kawa ziarnista LaCava Limy Bru,59.0,33.5823,41.3,0.35
Kawa ziarnista LaCava Limy Bru,159.0,90.4923,111.3,1.0
Kawa ziarnista LaCava Kenya Kabare Filtr,229.0,130.3323,160.3,1.0
Kawa ziarnista LaCava Ethiopia Sede Filtr,219.0,124.6323,153.3,1.0
Kawa ziarnista LaCava Honduras Finca Don Andres Filtr,229.0,130.3323,160.3,1.0
Kawa ziarnista LaCava Bolivia Arcangel Filtr,259.0,147.4023,181.3,1.0
Kawa mielona illy Decaf - bezkofeinowa,34.99,24.3823,29.99,0.25
Kawa ziarnista illy Decaf - bezkofeinowa,34.99,24.3823,29.99,0.25
Kawa ziarnista Diemme Aromatica,32.99,22.8023,28.04,0.2
Kawa ziarnista Lucaffe Exquisit,129.99,89.8323,110.49,1.0
ZESTAW - Kawa mielona Lavazza Qualita Rossa 4x,77.56,53.5923,65.92,0.25
Kapsułki Nescafé Dolce Gusto Latte Macchiato 3x16 sztuk,79.98,52.4123,64.47,
Kapsułki Nescafé Dolce Gusto Cappuccino 3x16 sztuk,79.98,52.4123,64.47,
Kapsułki Nescafé Dolce Gusto Café au Lait 3x30 sztuk,144.99,102.4123,125.97,
Kapsułki Nescafé Dolce Gusto Flat White 3x16 sztuk,79.98,52.4123,64.47,
Kapsułki Nescafé Dolce Gusto Cortado Espresso Macchiato 3x30 sztuk,144.99,102.4123,125.97,
Kapsułki Nescafé Dolce Gusto Espresso 3x16 sztuk,79.98,52.4123,64.47,
Kapsułki Nescafé Dolce Gusto Ristretto Barista 3x16 sztuk,79.98,52.4123,64.47,
Kawa ziarnista Momento KAPKAP Nikaragua Finca Los Altiplanos,149.0,84.8023,104.3,1.0
Kawa ziarnista Momento KAPKAP Nikaragua Finca Los Altiplanos,45.0,25.6123,31.5,0.25
Kawa ziarnista Momento Gwatemala Nº6 Finca Buena Vista,64.0,36.4223,44.8,0.25
Kawa ziarnista Momento Gwatemala Nº4 Finca La Mora,55.0,31.3023,38.5,0.25
Kawa ziarnista Trip Coffee Kolumbia DARK,27.99,18.2023,22.39,0.25
Kawa ziarnista Trip Coffee Brazylia DARK,24.99,16.2523,19.99,0.25
Kawa ziarnista Roastains Rwanda Rocking Chair FILTR,58.0,33.0123,40.6,0.25
Kawa ziarnista Roastains Kolumbia Neon Bird FILTR,58.0,33.0123,40.6,0.25
Kawa ziarnista Story Colombia Bourbon Aji,81.0,49.3923,60.75,0.125
Kawa ziarnista Instytut Kawy Kuba Sierra Maestra,129.0,78.6623,96.75,1.0
Kawa ziarnista Instytut Kawy Torino,38.0,23.1723,28.5,0.25
Kawa ziarnista Instytut Kawy Brazylia Cemorrado,129.0,78.6623,96.75,1.0
Kawa ziarnista Instytut Kawy Brazylia Cemorrado,38.0,23.1723,28.5,0.25
Kawa mielona Bristot Wellcaffe,24.99,16.2523,19.99,0.2
Kawa w saszetkach Caffe del Faro Espresso Italiano - saszetki ESE 18szt,30.99,21.4123,26.34,
Kawa w saszetkach Caffe del Faro Gold Extra Bar - saszetki ESE 18szt,27.0,18.6623,22.95,
Kawa w saszetkach Caffe del Faro Suprema 100% Arabica - saszetki ESE 18szt,34.99,24.1823,29.74,
Kawa ziarnista Caffe Grano Zimowy Przelew,39.99,27.6323,33.99,0.25
Kawa ziarnista LaCava Ethiopia Koke Filtr,269.0,153.0923,188.3,1.0
Kawa ziarnista LaCava Ecstasy Espresso Blend,189.0,107.5623,132.3,1.0
Kawa ziarnista LaCava Ecstasy Espresso Blend,79.0,44.9623,55.3,0.35
Kawa ziarnista LaCava Decaf Paradox Bezkofeinowa,159.0,90.4923,111.3,1.0
Kawa ziarnista LaCava Decaf Paradox Bezkofeinowa,59.0,33.5823,41.3,0.35
Kawa mielona Lavazza Crema e Gusto,18.99,13.1223,16.14,0.25
Kawa ziarnista Ferucci Bella Crema,89.0,50.6523,62.3,1.0
Kapsułki do Nespresso STARBUCKS® Smooth Caramel 10 szt.,25.99,16.2523,19.99,
Kapsułki do Nespresso STARBUCKS® Creamy Vanilla 10 szt.,25.99,16.2523,19.99,
Kapsułki do Nespresso STARBUCKS® Single Origin Guatemala 10 szt.,25.99,16.2523,19.99,
Kawa ziarnista LaCava Colombia Paola Trujillo,129.0,73.4123,90.3,0.2
Kawa ziarnista LaCava Colombia Anibal Calderon Geisha,119.0,67.7223,83.3,0.2
Kawa ziarnista COFFEE PLANT Gwatemala Amapolas,35.0,19.9223,24.5,0.25
Kawa ziarnista Instytut Kawy Palermo,32.0,19.5123,24.0,0.25
Kawa ziarnista Java Honduras La Feliciana,58.0,39.1423,48.14,0.25
Kapsułki do Nespresso COFFEE PLANT Gentle Decaf 10x,29.99,17.0723,20.99,0.005
LaCava Limy Nitro Cold Bru 200ml,8.99,5.8523,7.19,
Kawa ziarnista COFFEE PLANT Flow Blossom,23.99,13.6523,16.79,0.1
Kawa ziarnista ZAO Coffee Indonezja Pancoer Estate,55.0,31.3023,38.5,0.25
Kawa ziarnista Kafar Klasyczny Blend 80/20,28.0,17.0723,21.0,0.25
Kawa ziarnista Kafar Klasyczny Blend 80/20,110.0,67.0723,82.5,1.0
Kapsułki Nescafé Dolce Gusto STARBUCKS® Pumpkin Spice Latte 12 sztuk,29.99,18.6923,22.99,
Kawa ziarnista Kafar Kolumbia Tolima Decaf bezkofeinowa,55.0,33.5423,41.25,0.25
Kawa ziarnista Kafar Gwatemala El Llano Washed,51.0,31.1023,38.25,0.25
Kawa ziarnista Kafar Uganda Miwu Washed,59.0,35.9823,44.25,0.25
Kawa ziarnista Kafar Peru Elvis Tieno Washed,55.0,33.5423,41.25,0.25
Kawa ziarnista Kafar Papua-Nowa Gwinea Baroinda Honey,59.0,35.9823,44.25,0.25
Kawa ziarnista Kafar Kolumbia El Recreo Natural,64.0,39.0223,48.0,0.25
Kawa ziarnista Kafar Kenia Malkia Filtr,65.0,39.6323,48.75,0.25
Kawa ziarnista Kafar Indonezja Java Ijen Filtr,59.0,35.9823,44.25,0.25
Kawa ziarnista Salvatti Umuseke Jasno Palona,52.0,31.7123,39.0,0.25
Kawa ziarnista Caffe Grano Rwanda Gitega Hills 143,49.0,33.8623,41.65,0.25
Kawa ziarnista Momento Rwanda Summer Epresso ZZZZZ,149.0,84.8023,104.3,1.0
Kawa ziarnista Instytut Kawy Bari,129.0,78.6623,96.75,1.0
Kawa ziarnista Instytut Kawy Bari,38.0,23.1723,28.5,0.25
Kawa ziarnista Instytut Kawy Torino,129.0,78.6623,96.75,1.0
Kawa ziarnista Instytut Kawy Roma,32.0,19.5123,24.0,0.25
Kawa ziarnista Instytut Kawy Palermo,109.0,66.4623,81.75,1.0
Kawa ziarnista Instytut Kawy Roma,109.0,66.4623,81.75,1.0
Kawa ziarnista Roastains Peru Baby Llama FILTR,54.0,30.7323,37.8,0.25
Kawa ziarnista Roastains Rwanda Stone Fruit FILTR,51.0,29.0223,35.7,0.25
Kawa ziarnista Roastains Tanzania Happy Croc FILTR,54.0,30.7323,37.8,0.25
Kawa ziarnista Roastains Brazylia Aunt's Lover FILTR,45.0,25.6123,31.5,0.25
Kawa ziarnista Kafar Kolumbia Las Marias Natural,75.0,45.7323,56.25,0.25
Kawa ziarnista Kafar Kenia Mwira Fully Washed,69.0,42.0723,51.75,0.25
Kawa ziarnista Kafar Gwatemala El Oregano Natural,65.0,39.6323,48.75,0.25
Kawa ziarnista Kafar Kostaryka La Gauca Honey,65.0,39.6323,48.75,0.25
Kawa ziarnista Kafejeto Palarnia Kenia Kegwa,55.0,31.3023,38.5,0.25
Kawa ziarnista Kafejeto Palarnia Kostaryka El Mango,69.0,39.2723,48.3,0.25
Kawa ziarnista BeMyBean Kolumbia Finca El Recreo,75.0,44.5123,54.75,0.25
Kawa ziarnista BeMyBean Salwador El Mirador,69.0,40.9523,50.37,0.25
Kawa ziarnista BeMyBean Sumatra Asman Arianto,79.0,46.8923,57.67,0.25
Kawa ziarnista BeMyBean Decaf Kolumbia Popayan FILTR,60.0,35.6123,43.8,0.25
