name,price_old,price_new
"Kawa ziarnista Charles Liégeois Venezia, 1 kg",N/A,N/A
"Kawa mielona Charles Liégeois Magnifico, 250 g",N/A,N/A
"Kawa mielona Charles Liégeois Subtil, 250 g",N/A,N/A
"Kawa mielona Charles Liégeois Chiapas, 250 g",N/A,N/A
"Kawa mielona Charles Liégeois Puissant, 250 g",N/A,N/A
"Kawa bezkofeinowa mielona Charles Liégeois Discret Déca, 250 g",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Cortado, 3 x 16 szt.","104,97","65,37"
"Kawa w kapsułkach do Dolce Gusto® Starbucks Caramel Macchiato, 3 x 6 + 6 szt.","104,97","83,97"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Café au Lait Intenso, 3 x 16 szt.","104,97","65,37"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Espresso Intenso, 3 x 16 szt.","104,97","65,37"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Espresso, 3 x 16 szt.",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Doppio Espresso, 3 x 16 szt.",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® „Grande Intenso“, 3 x 16 szt.","104,97","68,97"
Zestaw kapsułek do ekspresów do kawy NESCAFE® Dolce Gusto® Black & White & Flavoured (64 porcji),"101,99","93,99"
Zestaw kapsułek do ekspresów do kawy NESCAFE® Dolce Gusto® White (48 porcji),"115,99","97,99"
Zestaw kapsułek do ekspresów do kawy NESCAFE® Dolce Gusto® Black (64 porcji),"115,99","97,99"
"Kawa ziarnista Amicosso New York Blend, 1 kg","129,90","77,94"
"Kawa ziarnista Charles Liégeois Magnifico, 1 kg",N/A,N/A
"Kawa w tabletkach Charles Liégeois Bella Roma, 25 szt.",N/A,N/A
"Kawa w tabletkach Café Liégeois Mano Mano, 25 szt.",N/A,N/A
Zestaw kawy ziarnistej Mano Mano + Aromatico,N/A,N/A
"Zestaw kawy mielonej Magnifico, 2 x 250 g",N/A,N/A
"Zestaw kawy mielonej Puissant, 4 x 250 g",N/A,N/A
"Zestaw kawy mielonej Puissant, 2 x 250 g",N/A,N/A
"Kawa w kapsułkach do Dolce Gusto® Charles Liégeois Café au lait, 3 x 16 szt.",N/A,N/A
"Kawa w kapsułkach do Dolce Gusto® Dolce Gusto® Charles Liégeois Puissant, 3 x 16 szt.",N/A,N/A
"Kawa w kapsułkach do Dolce Gusto® Dolce Gusto® Charles Liégeois Magnifico, 3 x 16 szt.",N/A,N/A
"Kawa w kapsułkach do Dolce Gusto® Charles Liégeois Mano Mano, 3 x 16 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® NESPRESSO Charles Liégeois Chiapas, 3 x 10 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Charles Liégeois Kivu, 3 x 10 szt.",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Skinny Cappuccino, 8+8 szt.","25,99","23,99"
"Gorąca czekolada w kapsułkach NESCAFÉ® Dolce Gusto® Milky Way, 8 szt.","21,99","21,79"
"Gorąca czekolada w kapsułkach NESCAFÉ® Dolce Gusto® Mars, 8 szt.","25,99","23,99"
"Gorąca czekolada w kapsułkach NESCAFÉ® Dolce Gusto® Snickers, 8 szt.",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Lungo Decaffeinato, 16 szt.","25,99","23,99"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Café Au lait, 3 x 16 szt.","104,97","65,97"
"Kapsułki kakaowe NESCAFÉ® Dolce Gusto® Nesquik, 3 x 16 szt.","104,97","65,97"
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Starbucks Latte Macchiato, 3 x 6 + 6 szt.","104,97","68,97"
"Kawa mielona Charles Liégeois Sublime, 500 g",N/A,N/A
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Latte Macchiato, 3 x 8+8 szt.","104,97","65,97"
"Kawa w kapsułkach NESCAFÉ® Dolce Gusto® Cappuccino, 3 x 8+8 szt.","104,97","65,67"
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Starbucks Cappuccino, 3 x 6 + 6 szt.","104,79","71,97"
"Kawa w kapsułkach do Dolce Gusto® Starbucks House Blend Grande, 3 x 12 szt.",N/A,N/A
"Kawa mielona Charles Liégeois Équilibré, 500 g",N/A,N/A
"Zestaw kawy mielonej Magnifico, 4 x 250 g",N/A,N/A
"Kawa bezkofeinowa mielona Charles Liégeois Mano Mano Discret Déca, 250 g",N/A,N/A
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Charles Liégeois Magnifico, 16 szt.",N/A,N/A
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Charles Liégeois Puissant, 16 szt.",N/A,N/A
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Charles Liégeois Mano Mano, 16 szt.",N/A,N/A
"Kawa bezkofeinowa w kapsułkach do NESCAFÉ® Dolce Gusto® Charles Liégeois Discret Deca, 16 szt.",N/A,N/A
"Kawa w kapsułkach do NESCAFÉ® Dolce Gusto® Charles Liégeois Café au lait, 16 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Charles Liégeois Magnifico, 50 szt.",N/A,N/A
"Kawa bezkofeinowa w kapsułkach do Nespresso® Charles Liégeois Discret Deca, 10 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Charles Liégeois Mano Mano, 50 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® NESPRESSO Charles Liégeois Noisette, 3 x 10 szt.",N/A,N/A
"Kawa w kapsułkach do Nespresso® Charles Liégeois Magnifico, 3 x 20 szt.",N/A,N/A
