name,price_old,price_netto,price_new
Kawa ziarnista LaCava Honduras Finca Don Andres Filtr 250g,"69,00 zł","39,27 zł +23% VAT","48,30 zł"
Kawa ziarnista Ferucci Braziliana 1kg,"99,00 zł","56,34 zł +23% VAT","69,30 zł"
Kawa ziarnista Ferucci Dolce Crema 1kg,"99,00 zł","56,34 zł +23% VAT","69,30 zł"
Kawa ziarnista MK Cafe Fresh Christmas Origin 1kg,N/A,"70,72 zł +23% VAT","86,99 zł"
Kawa w kapsułkach Costa Coffee The Warming Blend kompatybilne z ekspresami Nespresso®* - 10 szt.,"21,49 zł","14,63 zł +23% VAT","17,99 zł"
Kawa ziarnista Coffee Grange Kenya AA Rung'eto Kii Washed 250g,N/A,"56,10 zł +23% VAT","69,00 zł"
Kawa ziarnista Coffee Grange Ethiopia Sidamo Bombe Gr.1 Natural 250g,N/A,"52,85 zł +23% VAT","65,00 zł"
Kawa ziarnista Coffee Grange Ethiopia Shantawene Buncho Gr.1 Washed 250g,N/A,"52,85 zł +23% VAT","65,00 zł"
Kawa ziarnista BeMyBean Kenia Tembo 250g,"58,00 zł","34,42 zł +23% VAT","42,34 zł"
Kawa ziarnista Java Gwatemala El Duranzo Winter Espresso 250g,"65,00 zł","43,86 zł +23% VAT","53,95 zł"
Kawa ziarnista BeMyBean Kolumbia Luz Marina 250g,"59,00 zł","35,02 zł +23% VAT","43,07 zł"
ZESTAW - Kawa ziarnista Trip Coffee Kolumbia 1kg + kubek termiczny,N/A,"143,89 zł +23% VAT","176,98 zł"
ZESTAW - Kawa ziarnista Trip Coffee Etiopia 1kg + kubek termiczny,N/A,"163,40 zł +23% VAT","200,98 zł"
Kawa ziarnista Costa Coffee Signature Blend 1kg,"94,99 zł","44,71 zł +23% VAT","54,99 zł"
Kawa ziarnista Costa Coffee Bright Latin Blend 1kg,"99,99 zł","51,21 zł +23% VAT","62,99 zł"
Kawa ziarnista HAYB Sie Przelewa Klasyk 1kg,"125,00 zł","73,17 zł +23% VAT","90,00 zł"
Kawa ziarnista HAYB Sie Przelewa Klasyk 250g,"34,00 zł","19,90 zł +23% VAT","24,48 zł"
Kawa ziarnista HAYB Yellow Espresso Blend 1kg,"119,00 zł","69,66 zł +23% VAT","85,68 zł"
Kawa ziarnista Paloma Brazylia San Rafael 1kg,"130,00 zł","70,81 zł +23% VAT","87,10 zł"
Kawa ziarnista Paloma Kolumbia Golden Huila 1kg,"136,00 zł","74,08 zł +23% VAT","91,12 zł"
ZESTAW - Kawa ziarnista Costa Coffee Signature Blend zestaw 2x1kg + Costa Coffee Bright Blend 200g,N/A,"100,92 zł +23% VAT","124,13 zł"
